sexe;prenom;nombre
1;JEAN-LOUIS;80632
2;EMMANUELLE;80370
2;FANNY;80359
1;GREGORY;80121
2;SEVERINE;80075
1;CAMILLE;79977
1;AURÉLIEN;79728
2;DANIELE;78998
1;EDOUARD;78843
2;ARLETTE;78585
1;WILLIAM;78381
2;JULIA;77073
1;ADAM;76369
2;ANGELIQUE;76275
2;MARIE-CHRISTINE;75522
2;LOLA;75364
2;MORGANE;75174
2;ESTELLE;74464
2;NADIA;74390
2;MAGALI;74183
1;RÉMY;74152
2;ANTOINETTE;72574
2;ANGÈLE;71550
2;JESSICA;70903
2;MURIEL;70749
2;BERTHE;70636
2;EUGÉNIE;70586
2;NELLY;70320
2;LUCETTE;69921
1;FLORENT;69752
2;LISA;69154
1;JACKY;69149
1;MARTIN;69144
1;ETHAN;68987
2;LINA;68959
2;JANINE;68647
1;DYLAN;68385
1;BERTRAND;67378
2;AURORE;66705
1;ARMAND;66644
1;ALFRED;65872
1;HUBERT;65781
2;JENNIFER;65536
1;NOAH;65437
2;MÉLISSA;65340
1;LUC;65301
2;ZOÉ;64921
2;LÉONIE;64520
2;GHISLAINE;64322
2;CINDY;64128
2;SABINE;64028
1;YANIS;63904
2;MARGAUX;63489
2;LYDIE;63256
1;MAXENCE;63134
2;RÉGINE;63053
2;GILBERTE;62164
2;ROMANE;62079
1;REGIS;60680
2;LÉNA;59949
1;CORENTIN;59268
1;SACHA;58876
2;CÉLIA;58669
2;MARIE-CLAUDE;57654
1;JOSÉ;57345
2;EDITH;56876
2;CLAUDE;56643
2;AGATHE;56477
2;AMBRE;56359
1;ROBIN;56324
1;BASTIEN;55737
2;NOEMIE;55579
1;THIBAULT;55396
2;CORALIE;55390
2;ELISA;55339
1;JORDAN;55234
1;EDMOND;54593
2;ADELINE;54444
1;ERNEST;54072
2;MARIE-FRANCE;54017
1;JEAN-JACQUES;53976
2;YOLANDE;53766
1;MATHÉO;53451
2;SYLVIANE;53073
2;VIVIANE;52893
2;MAURICETTE;52808
1;GAËTAN;52460
1;TONY;51984
2;ALICIA;51643
1;NOËL;51631
2;RACHEL;50877
1;NOLAN;50598
1;FÉLIX;50420
2;VALENTINE;50241
2;FRÉDÉRIQUE;50004
2;JEANINE;49558
2;MAEVA;49211
1;JEAN-BAPTISTE;49099
2;LOU;49058
2;MARIE-LOUISE;48890
2;MARGOT;48407
1;GABIN;48135
2;ELSA;48004
2;CLAUDETTE;47756
2;GAELLE;47678
2;NINA;46590
2;PAULE;46288
1;MEHDI;46137
2;ANDRÉA;46098
2;CARINE;46065
1;JEAN-PHILIPPE;45967
1;EVAN;45911
2;ADÈLE;45816
2;EMILIENNE;45364
2;LILOU;45147
1;AUGUSTIN;45144
2;OLIVIA;45080
2;MARINA;44388
1;ELIE;44294
2;VICTORIA;43808
1;ALPHONSE;43478
1;YOANN;42610
1;RAYAN;42335
1;TRISTAN;42278
2;LUDIVINE;42052
1;LIAM;41878
1;ANTONIN;41378
2;AUGUSTINE;41003
2;NADEGE;40950
1;YVON;40537
1;ERWAN;40193
2;BLANCHE;40059
2;ROLANDE;39940
1;MAX;39915
2;MARIANNE;39727
1;MATHIAS;39620
2;LOUNA;39347
1;KARIM;38953
1;AIME;38683
1;DIMITRI;38654
1;CHRISTOPHER;38511
1;MAËL;38422
2;MURIELLE;37956
2;LISE;37907
2;MARIE-HÉLÈNE;37869
2;MAUD;37797
1;JEAN-YVES;37746
2;MARYLINE;37526
2;LUCILE;37423
2;ALEXIA;37402
2;CLÉMENTINE;37358
1;THIBAUT;37057
1;GUSTAVE;36985
1;CYRILLE;36858
1;MARTIAL;36738
1;MANUEL;36646
2;MARIE-CLAIRE;36078
1;JIMMY;36044
2;GERALDINE;36033
2;OPHÉLIE;35952
1;MATTÉO;35754
2;MARYVONNE;35493
2;MARIE-LAURE;35455
1;JOHAN;35057
2;ADRIENNE;34935
2;MARIE-JOSÉ;34877
2;EMELINE;34188
2;REINE;34122
1;AARON;33975
1;DORIAN;33766
2;CHARLINE;33675
2;ANNETTE;33546
1;STEVEN;33439
1;GERMAIN;32860
1;MAEL;32735
2;ANNE-SOPHIE;32530
2;CHARLÈNE;32454
1;NOA;32445
2;MARLÈNE;32250
1;GÉRALD;32145
1;JEAN-CHRISTOPHE;32033
2;SOLÈNE;31969
2;LYDIA;31941
2;MARIE-PIERRE;31667
2;AUDE;31480
1;ALEX;31319
2;CARMEN;31238
2;LINDA;31194
1;RAOUL;31139
2;KATIA;31119
1;MORGAN;30998
1;KYLIAN;30323
1;MARCEAU;30187
2;MARJORIE;30092
1;ESTEBAN;30065
2;JULIENNE;30039
2;YASMINE;30002
2;NATACHA;29998
2;SOFIA;29942
2;CLARISSE;29818
1;TIMÉO;29779
2;LAURIE;29732
2;ANITA;29703
2;MILA;29639
2;FATIMA;29554
1;ALI;29186
2;VICTOIRE;29103
2;BENEDICTE;28972
2;ALIX;28371
1;MATHYS;28324
1;ALBAN;28319
1;BRICE;28310
2;FRANCE;28279
2;AIMÉE;28254
2;MAELYS;28217
2;NOËLLE;28209
2;LUNA;28208
2;ALBERTINE;28207
2;MARIE-FRANÇOISE;28067
1;LORENZO;27949
2;INGRID;27894
1;GEOFFREY;27870
2;BLANDINE;27868
2;SARA;27777
1;GAEL;27629
2;MÉLINA;27532
1;LENNY;27518
1;ABEL;27499
2;JOHANNA;27406
2;CATHY;27367
2;CONSTANCE;27365
1;YVAN;27341
2;CLOTILDE;27324
1;MARIE;26883
2;CARLA;26791
1;NORBERT;26740
2;SALOMÉ;26730
1;JAMES;26698
1;LILIAN;26685
1;JEREMIE;26676
2;HÉLOÏSE;26658
2;ARMELLE;26464
1;GRÉGOIRE;26402
2;LANA;26237
2;DEBORAH;26225
1;ELIOTT;26096
2;BARBARA;26089
2;CAPUCINE;26026
2;MAGALIE;25817
1;GASPARD;25679
1;HUGUES;25637
1;NOÉ;25593
2;LAURINE;25281
1;OSCAR;25253
